error	steps
197768750.0	319.0
197757612.0	320.0
197726046.0	321.0
197609981.0	322.0
197524090.0	323.0
197463614.0	324.0
197410439.0	325.0
197410439.0	326.0
197402565.0	327.0
197377524.0	328.0
197358582.0	329.0
197357654.0	330.0
197356116.0	331.0
197243759.0	332.0
197243759.0	333.0
197147891.0	334.0
197140612.0	335.0
197138630.0	336.0
197135770.0	337.0
197094342.0	338.0
197049773.0	339.0
197042042.0	340.0
197032664.0	341.0
196959705.0	342.0
196954527.0	343.0
196953779.0	344.0
196929607.0	345.0
196822636.0	346.0
196808124.0	347.0
196778714.0	348.0
196753554.0	349.0
196545851.0	350.0
196287735.0	351.0
196285734.0	352.0
196272139.0	353.0
196272139.0	354.0
196267408.0	355.0
196157606.0	356.0
196115284.0	357.0
196111652.0	358.0
196074624.0	359.0
196070941.0	360.0
196060199.0	361.0
196034193.0	362.0
196017888.0	363.0
195997980.0	364.0
195982264.0	365.0
195921466.0	366.0
195807610.0	367.0
195807158.0	368.0
195806014.0	369.0
195762550.0	370.0
195762550.0	371.0
195732949.0	372.0
195600856.0	373.0
195583716.0	374.0
195538283.0	375.0
195538283.0	376.0
195530870.0	377.0
195500044.0	378.0
195447568.0	379.0
195432987.0	380.0
195339968.0	381.0
195334118.0	382.0
195332880.0	383.0
195332461.0	384.0
195300532.0	385.0
195294153.0	386.0
195151914.0	387.0
195131229.0	388.0
195131229.0	389.0
195126819.0	390.0
195056268.0	391.0
195042082.0	392.0
195039342.0	393.0
195013889.0	394.0
195009254.0	395.0
195003377.0	396.0
194888882.0	397.0
194888882.0	398.0
194791722.0	399.0
194777819.0	400.0
194715083.0	401.0
194713349.0	402.0
194668492.0	403.0
194644305.0	404.0
194644305.0	405.0
194643972.0	406.0
194467140.0	407.0
194409078.0	408.0
194380361.0	409.0
194377983.0	410.0
194374426.0	411.0
194367725.0	412.0
194364553.0	413.0
194225340.0	414.0
194225340.0	415.0
194100532.0	416.0
194043610.0	417.0
194034214.0	418.0
194027966.0	419.0
194013305.0	420.0
194011121.0	421.0
193975635.0	422.0
193965193.0	423.0
193959398.0	424.0
193953646.0	425.0
193948633.0	426.0
193947312.0	427.0
193943767.0	428.0
193943767.0	429.0
193935836.0	430.0
193779908.0	431.0
193778003.0	432.0
193770209.0	433.0
193659092.0	434.0
193654730.0	435.0
193653624.0	436.0
193649140.0	437.0
193629124.0	438.0
193629124.0	439.0
193626287.0	440.0
193615263.0	441.0
193612619.0	442.0
193608992.0	443.0
193608992.0	444.0
193607282.0	445.0
193600157.0	446.0
193600157.0	447.0
193594128.0	448.0
193592451.0	449.0
193589326.0	450.0
193459976.0	451.0
193457945.0	452.0
193445819.0	453.0
193414000.0	454.0
193404039.0	455.0
193394606.0	456.0
193377544.0	457.0
193353457.0	458.0
193243408.0	459.0
193242001.0	460.0
193239852.0	461.0
193237748.0	462.0
193229080.0	463.0
193229080.0	464.0
193229080.0	465.0
193228164.0	466.0
193181060.0	467.0
193181060.0	468.0
193145729.0	469.0
193008505.0	470.0
193008505.0	471.0
193005310.0	472.0
193005310.0	473.0
193002825.0	474.0
192997351.0	475.0
192952898.0	476.0
192880381.0	477.0
192879138.0	478.0
192878400.0	479.0
192860313.0	480.0
192859776.0	481.0
192778382.0	482.0
192775898.0	483.0
192774942.0	484.0
192773946.0	485.0
192756258.0	486.0
192753054.0	487.0
192740524.0	488.0
192740192.0	489.0
192740192.0	490.0
192740192.0	491.0
192734201.0	492.0
192726795.0	493.0
192724261.0	494.0
192720963.0	495.0
192720276.0	496.0
192720276.0	497.0
192720048.0	498.0
192706098.0	499.0
192697231.0	500.0
192697231.0	501.0
192697231.0	502.0
192695084.0	503.0
192694351.0	504.0
