Price_0-Day,Price_1-Day,Price_2-Day,Price_3-Day,Price_4-Day,Price_5-Day
1841.595947265625,1842.1629638671875,1842.6031494140625,1842.61083984375,1840.10302734375,1840.0015869140625
1842.1629638671875,1842.6031494140625,1842.61083984375,1840.10302734375,1840.0015869140625,1841.9766845703125
1842.6031494140625,1842.61083984375,1840.10302734375,1840.0015869140625,1841.9766845703125,1841.0045166015625
1842.61083984375,1840.10302734375,1840.0015869140625,1841.9766845703125,1841.0045166015625,1839.8880615234375
1840.10302734375,1840.0015869140625,1841.9766845703125,1841.0045166015625,1839.8880615234375,1837.693603515625
1840.0015869140625,1841.9766845703125,1841.0045166015625,1839.8880615234375,1837.693603515625,1838.8372802734375
1841.9766845703125,1841.0045166015625,1839.8880615234375,1837.693603515625,1838.8372802734375,1839.1868896484375
1841.0045166015625,1839.8880615234375,1837.693603515625,1838.8372802734375,1839.1868896484375,1837.8419189453125
1839.8880615234375,1837.693603515625,1838.8372802734375,1839.1868896484375,1837.8419189453125,1836.6607666015625
1837.693603515625,1838.8372802734375,1839.1868896484375,1837.8419189453125,1836.6607666015625,1835.6685791015625
1838.8372802734375,1839.1868896484375,1837.8419189453125,1836.6607666015625,1835.6685791015625,1836.60009765625
1839.1868896484375,1837.8419189453125,1836.6607666015625,1835.6685791015625,1836.60009765625,1834.6412353515625
1837.8419189453125,1836.6607666015625,1835.6685791015625,1836.60009765625,1834.6412353515625,1830.244873046875
1836.6607666015625,1835.6685791015625,1836.60009765625,1834.6412353515625,1830.244873046875,1831.149658203125
1835.6685791015625,1836.60009765625,1834.6412353515625,1830.244873046875,1831.149658203125,1828.3094482421875
1836.60009765625,1834.6412353515625,1830.244873046875,1831.149658203125,1828.3094482421875,1828.6170654296875
1834.6412353515625,1830.244873046875,1831.149658203125,1828.3094482421875,1828.6170654296875,1828.978515625
1830.244873046875,1831.149658203125,1828.3094482421875,1828.6170654296875,1828.978515625,1829.067626953125
1831.149658203125,1828.3094482421875,1828.6170654296875,1828.978515625,1829.067626953125,1831.11865234375
1828.3094482421875,1828.6170654296875,1828.978515625,1829.067626953125,1831.11865234375,1832.702392578125
1828.6170654296875,1828.978515625,1829.067626953125,1831.11865234375,1832.702392578125,1832.82177734375
1828.978515625,1829.067626953125,1831.11865234375,1832.702392578125,1832.82177734375,1832.8720703125
1829.067626953125,1831.11865234375,1832.702392578125,1832.82177734375,1832.8720703125,1833.915283203125
1831.11865234375,1832.702392578125,1832.82177734375,1832.8720703125,1833.915283203125,1835.10205078125
1832.702392578125,1832.82177734375,1832.8720703125,1833.915283203125,1835.10205078125,1835.4227294921875
1832.82177734375,1832.8720703125,1833.915283203125,1835.10205078125,1835.4227294921875,1834.2763671875
1832.8720703125,1833.915283203125,1835.10205078125,1835.4227294921875,1834.2763671875,1832.885009765625
1833.915283203125,1835.10205078125,1835.4227294921875,1834.2763671875,1832.885009765625,1833.6082763671875
1835.10205078125,1835.4227294921875,1834.2763671875,1832.885009765625,1833.6082763671875,1834.003662109375
1835.4227294921875,1834.2763671875,1832.885009765625,1833.6082763671875,1834.003662109375,1834.6455078125
1834.2763671875,1832.885009765625,1833.6082763671875,1834.003662109375,1834.6455078125,1835.240966796875
1832.885009765625,1833.6082763671875,1834.003662109375,1834.6455078125,1835.240966796875,1835.6728515625
1833.6082763671875,1834.003662109375,1834.6455078125,1835.240966796875,1835.6728515625,1834.8807373046875
1834.003662109375,1834.6455078125,1835.240966796875,1835.6728515625,1834.8807373046875,1832.9976806640625
1834.6455078125,1835.240966796875,1835.6728515625,1834.8807373046875,1832.9976806640625,1833.607666015625
1835.240966796875,1835.6728515625,1834.8807373046875,1832.9976806640625,1833.607666015625,1834.2757568359375
1835.6728515625,1834.8807373046875,1832.9976806640625,1833.607666015625,1834.2757568359375,1834.4144287109375
1834.8807373046875,1832.9976806640625,1833.607666015625,1834.2757568359375,1834.4144287109375,1835.88330078125
1832.9976806640625,1833.607666015625,1834.2757568359375,1834.4144287109375,1835.88330078125,1836.517822265625
1833.607666015625,1834.2757568359375,1834.4144287109375,1835.88330078125,1836.517822265625,1837.568115234375
1834.2757568359375,1834.4144287109375,1835.88330078125,1836.517822265625,1837.568115234375,1836.1204833984375
1834.4144287109375,1835.88330078125,1836.517822265625,1837.568115234375,1836.1204833984375,1835.6036376953125
1835.88330078125,1836.517822265625,1837.568115234375,1836.1204833984375,1835.6036376953125,1836.5584716796875
1836.517822265625,1837.568115234375,1836.1204833984375,1835.6036376953125,1836.5584716796875,1835.96630859375
1837.568115234375,1836.1204833984375,1835.6036376953125,1836.5584716796875,1835.96630859375,1837.04150390625
1836.1204833984375,1835.6036376953125,1836.5584716796875,1835.96630859375,1837.04150390625,1836.0030517578125
1835.6036376953125,1836.5584716796875,1835.96630859375,1837.04150390625,1836.0030517578125,1837.8448486328125
1836.5584716796875,1835.96630859375,1837.04150390625,1836.0030517578125,1837.8448486328125,1837.460693359375
1835.96630859375,1837.04150390625,1836.0030517578125,1837.8448486328125,1837.460693359375,1837.954833984375
1837.04150390625,1836.0030517578125,1837.8448486328125,1837.460693359375,1837.954833984375,1838.259765625
1836.0030517578125,1837.8448486328125,1837.460693359375,1837.954833984375,1838.259765625,1838.744140625
1837.8448486328125,1837.460693359375,1837.954833984375,1838.259765625,1838.744140625,1837.886962890625
1837.460693359375,1837.954833984375,1838.259765625,1838.744140625,1837.886962890625,1838.3697509765625
1837.954833984375,1838.259765625,1838.744140625,1837.886962890625,1838.3697509765625,1839.0975341796875
