Price_0-Day,Price_1-Day,Price_2-Day,Price_3-Day,Price_4-Day,Price_5-Day
96874.734375,96866.640625,96867.171875,96845.75,96801.3359375,96803.4375
96866.640625,96867.171875,96845.75,96801.3359375,96803.4375,96811.5859375
96867.171875,96845.75,96801.3359375,96803.4375,96811.5859375,96747.4765625
96845.75,96801.3359375,96803.4375,96811.5859375,96747.4765625,96711.8046875
96801.3359375,96803.4375,96811.5859375,96747.4765625,96711.8046875,96706.984375
96803.4375,96811.5859375,96747.4765625,96711.8046875,96706.984375,96707.8046875
96811.5859375,96747.4765625,96711.8046875,96706.984375,96707.8046875,96697.640625
96747.4765625,96711.8046875,96706.984375,96707.8046875,96697.640625,96641.875
96711.8046875,96706.984375,96707.8046875,96697.640625,96641.875,96657.0234375
96706.984375,96707.8046875,96697.640625,96641.875,96657.0234375,96600.4453125
96707.8046875,96697.640625,96641.875,96657.0234375,96600.4453125,96576.6796875
96697.640625,96641.875,96657.0234375,96600.4453125,96576.6796875,96612.8125
96641.875,96657.0234375,96600.4453125,96576.6796875,96612.8125,96520.2421875
96657.0234375,96600.4453125,96576.6796875,96612.8125,96520.2421875,96531.875
96600.4453125,96576.6796875,96612.8125,96520.2421875,96531.875,96502.234375
96576.6796875,96612.8125,96520.2421875,96531.875,96502.234375,96494.015625
96612.8125,96520.2421875,96531.875,96502.234375,96494.015625,96514.1171875
96520.2421875,96531.875,96502.234375,96494.015625,96514.1171875,96499.8984375
96531.875,96502.234375,96494.015625,96514.1171875,96499.8984375,96630.28125
96502.234375,96494.015625,96514.1171875,96499.8984375,96630.28125,96655.296875
96494.015625,96514.1171875,96499.8984375,96630.28125,96655.296875,96657.2578125
96514.1171875,96499.8984375,96630.28125,96655.296875,96657.2578125,96653.8359375
96499.8984375,96630.28125,96655.296875,96657.2578125,96653.8359375,96673.453125
96630.28125,96655.296875,96657.2578125,96653.8359375,96673.453125,96662.4375
96655.296875,96657.2578125,96653.8359375,96673.453125,96662.4375,96708.9765625
96657.2578125,96653.8359375,96673.453125,96662.4375,96708.9765625,96642.8359375
96653.8359375,96673.453125,96662.4375,96708.9765625,96642.8359375,96619.34375
96673.453125,96662.4375,96708.9765625,96642.8359375,96619.34375,96582.8671875
96662.4375,96708.9765625,96642.8359375,96619.34375,96582.8671875,96566.3828125
96708.9765625,96642.8359375,96619.34375,96582.8671875,96566.3828125,96573.4765625
96642.8359375,96619.34375,96582.8671875,96566.3828125,96573.4765625,96558.546875
96619.34375,96582.8671875,96566.3828125,96573.4765625,96558.546875,96556.5703125
96582.8671875,96566.3828125,96573.4765625,96558.546875,96556.5703125,96536.84375
96566.3828125,96573.4765625,96558.546875,96556.5703125,96536.84375,96485.0546875
96573.4765625,96558.546875,96556.5703125,96536.84375,96485.0546875,96442.8671875
96558.546875,96556.5703125,96536.84375,96485.0546875,96442.8671875,96439.1953125
96556.5703125,96536.84375,96485.0546875,96442.8671875,96439.1953125,96412.21875
96536.84375,96485.0546875,96442.8671875,96439.1953125,96412.21875,96357.375
96485.0546875,96442.8671875,96439.1953125,96412.21875,96357.375,96436.3984375
96442.8671875,96439.1953125,96412.21875,96357.375,96436.3984375,96503.6640625
96439.1953125,96412.21875,96357.375,96436.3984375,96503.6640625,96437.6328125
96412.21875,96357.375,96436.3984375,96503.6640625,96437.6328125,96389.1328125
96357.375,96436.3984375,96503.6640625,96437.6328125,96389.1328125,96417.1328125
96436.3984375,96503.6640625,96437.6328125,96389.1328125,96417.1328125,96441.1875
96503.6640625,96437.6328125,96389.1328125,96417.1328125,96441.1875,96483.5546875
96437.6328125,96389.1328125,96417.1328125,96441.1875,96483.5546875,96466.3828125
96389.1328125,96417.1328125,96441.1875,96483.5546875,96466.3828125,96467.875
96417.1328125,96441.1875,96483.5546875,96466.3828125,96467.875,96509.1875
96441.1875,96483.5546875,96466.3828125,96467.875,96509.1875,96507.625
96483.5546875,96466.3828125,96467.875,96509.1875,96507.625,96530.15625
96466.3828125,96467.875,96509.1875,96507.625,96530.15625,96582.9296875
96467.875,96509.1875,96507.625,96530.15625,96582.9296875,96529.421875
96509.1875,96507.625,96530.15625,96582.9296875,96529.421875,96548.3046875
96507.625,96530.15625,96582.9296875,96529.421875,96548.3046875,96534.84375
96530.15625,96582.9296875,96529.421875,96548.3046875,96534.84375,96556.734375
96582.9296875,96529.421875,96548.3046875,96534.84375,96556.734375,96506.0234375
96529.421875,96548.3046875,96534.84375,96556.734375,96506.0234375,96444.921875
96548.3046875,96534.84375,96556.734375,96506.0234375,96444.921875,96514.75
96534.84375,96556.734375,96506.0234375,96444.921875,96514.75,96568.15625
96556.734375,96506.0234375,96444.921875,96514.75,96568.15625,96570.609375
96506.0234375,96444.921875,96514.75,96568.15625,96570.609375,96539.046875
96444.921875,96514.75,96568.15625,96570.609375,96539.046875,96568.4140625
96514.75,96568.15625,96570.609375,96539.046875,96568.4140625,96616.59375
96568.15625,96570.609375,96539.046875,96568.4140625,96616.59375,96613.3671875
96570.609375,96539.046875,96568.4140625,96616.59375,96613.3671875,96474.40625
96539.046875,96568.4140625,96616.59375,96613.3671875,96474.40625,96478.234375
96568.4140625,96616.59375,96613.3671875,96474.40625,96478.234375,96405.4140625
96616.59375,96613.3671875,96474.40625,96478.234375,96405.4140625,96395.1796875
96613.3671875,96474.40625,96478.234375,96405.4140625,96395.1796875,96384.234375
96474.40625,96478.234375,96405.4140625,96395.1796875,96384.234375,96312.8203125
96478.234375,96405.4140625,96395.1796875,96384.234375,96312.8203125,96338.2109375
96405.4140625,96395.1796875,96384.234375,96312.8203125,96338.2109375,96322.4375
96395.1796875,96384.234375,96312.8203125,96338.2109375,96322.4375,96300.3828125
96384.234375,96312.8203125,96338.2109375,96322.4375,96300.3828125,96341.4609375
96312.8203125,96338.2109375,96322.4375,96300.3828125,96341.4609375,96351.171875
96338.2109375,96322.4375,96300.3828125,96341.4609375,96351.171875,96309.3828125
96322.4375,96300.3828125,96341.4609375,96351.171875,96309.3828125,96215.5859375
96300.3828125,96341.4609375,96351.171875,96309.3828125,96215.5859375,96235.0390625
96341.4609375,96351.171875,96309.3828125,96215.5859375,96235.0390625,96263.7421875
96351.171875,96309.3828125,96215.5859375,96235.0390625,96263.7421875,96290.1171875
96309.3828125,96215.5859375,96235.0390625,96263.7421875,96290.1171875,96275.6015625
96215.5859375,96235.0390625,96263.7421875,96290.1171875,96275.6015625,96293.4609375
96235.0390625,96263.7421875,96290.1171875,96275.6015625,96293.4609375,96233.8515625
96263.7421875,96290.1171875,96275.6015625,96293.4609375,96233.8515625,96254.890625
96290.1171875,96275.6015625,96293.4609375,96233.8515625,96254.890625,96263.5078125
96275.6015625,96293.4609375,96233.8515625,96254.890625,96263.5078125,96343.265625
96293.4609375,96233.8515625,96254.890625,96263.5078125,96343.265625,96391.734375
96233.8515625,96254.890625,96263.5078125,96343.265625,96391.734375,96381.15625
96254.890625,96263.5078125,96343.265625,96391.734375,96381.15625,96386.8671875
96263.5078125,96343.265625,96391.734375,96381.15625,96386.8671875,96375.796875
96343.265625,96391.734375,96381.15625,96386.8671875,96375.796875,96264.3359375
96391.734375,96381.15625,96386.8671875,96375.796875,96264.3359375,96185.625
96381.15625,96386.8671875,96375.796875,96264.3359375,96185.625,96197.6953125
96386.8671875,96375.796875,96264.3359375,96185.625,96197.6953125,96211.90625
96375.796875,96264.3359375,96185.625,96197.6953125,96211.90625,96238.921875
96264.3359375,96185.625,96197.6953125,96211.90625,96238.921875,96324.0859375
96185.625,96197.6953125,96211.90625,96238.921875,96324.0859375,96393.65625
96197.6953125,96211.90625,96238.921875,96324.0859375,96393.65625,96407.40625
96211.90625,96238.921875,96324.0859375,96393.65625,96407.40625,96408.84375
96238.921875,96324.0859375,96393.65625,96407.40625,96408.84375,96408.5390625
96324.0859375,96393.65625,96407.40625,96408.84375,96408.5390625,96366.671875
96393.65625,96407.40625,96408.84375,96408.5390625,96366.671875,96328.59375
96407.40625,96408.84375,96408.5390625,96366.671875,96328.59375,96355.921875
96408.84375,96408.5390625,96366.671875,96328.59375,96355.921875,96327.28125
96408.5390625,96366.671875,96328.59375,96355.921875,96327.28125,96292.15625
96366.671875,96328.59375,96355.921875,96327.28125,96292.15625,96348.6015625
96328.59375,96355.921875,96327.28125,96292.15625,96348.6015625,96367.78125
96355.921875,96327.28125,96292.15625,96348.6015625,96367.78125,96407.5078125
96327.28125,96292.15625,96348.6015625,96367.78125,96407.5078125,96343.640625
96292.15625,96348.6015625,96367.78125,96407.5078125,96343.640625,96332.390625
96348.6015625,96367.78125,96407.5078125,96343.640625,96332.390625,96328.5625
96367.78125,96407.5078125,96343.640625,96332.390625,96328.5625,96372.578125
96407.5078125,96343.640625,96332.390625,96328.5625,96372.578125,96336.546875
96343.640625,96332.390625,96328.5625,96372.578125,96336.546875,96266.0546875
96332.390625,96328.5625,96372.578125,96336.546875,96266.0546875,96258.625
