"Days","Dims","Shape","Elements","Feats","Outputs","Misc","Model","Desc","Time Taken","MAE","RMSE","R2","Macro Acc","Bal Acc","Micro Acc","Precision","Recall","F1","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10"
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","RandomForestRegressor","RandomForestRegressor(n_estimators=16, n_jobs=-1)",135.113640546799,1.3753,2.0285,0.3574,0.2155,0.7124,0.7193,0.7377,0.7729,0.7548,0.5319,0.6281,0.6837,0.7157,0.7463,0.7501,0.763,0.765,0.7711,0.7696,0.8049,1.0422,1.1675,1.2751,1.3728,1.4667,1.5275,1.6145,1.6994,1.7824
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","ExtraTreesRegressor","ExtraTreesRegressor(n_estimators=16, n_jobs=-1)",22.1035676002502,1.1516,1.6957,0.5016,0.2425,0.764,0.7695,0.7831,0.8144,0.7984,0.5374,0.6774,0.7376,0.7753,0.7928,0.8043,0.8231,0.8243,0.8362,0.832,0.8117,0.9659,1.0486,1.1046,1.1601,1.2067,1.2153,1.2696,1.3347,1.3989
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","RandomForestRegressor","RandomForestRegressor(n_estimators=32, n_jobs=-1)",263.896860837936,1.3493,1.9741,0.3887,0.2314,0.7333,0.7409,0.7525,0.8003,0.7756,0.5436,0.6501,0.6982,0.7377,0.7653,0.7756,0.7887,0.7913,0.7947,0.7881,0.7802,1.0164,1.1525,1.2541,1.3527,1.4409,1.5021,1.5782,1.6661,1.7496
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","ExtraTreesRegressor","ExtraTreesRegressor(n_estimators=32, n_jobs=-1)",47.6022226810455,1.1168,1.6417,0.527,0.2722,0.783,0.7899,0.7933,0.8464,0.8189,0.5418,0.6953,0.7615,0.795,0.8171,0.8306,0.8387,0.8434,0.8494,0.8576,0.802,0.9456,1.0158,1.0716,1.1228,1.1646,1.1808,1.2291,1.2897,1.3463
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","RandomForestRegressor","RandomForestRegressor(n_estimators=64, n_jobs=-1)",616.378693580627,1.3286,1.9339,0.4084,0.2546,0.7453,0.7544,0.7577,0.8258,0.7902,0.5267,0.6712,0.7262,0.7583,0.7787,0.7885,0.7993,0.7996,0.8027,0.802,0.7807,1.0073,1.1352,1.2386,1.3303,1.4205,1.4748,1.5543,1.6341,1.7102
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","ExtraTreesRegressor","ExtraTreesRegressor(n_estimators=64, n_jobs=-1)",75.9458937644959,1.0996,1.6175,0.5368,0.2865,0.7953,0.8017,0.8045,0.8546,0.8287,0.5378,0.714,0.7741,0.8095,0.8331,0.8458,0.8547,0.8544,0.8586,0.8708,0.7973,0.9405,1.0059,1.0536,1.1019,1.1473,1.1654,1.2105,1.2575,1.3158
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","RandomForestRegressor","RandomForestRegressor(n_estimators=128, n_jobs=-1)",1071.94996929169,1.3223,1.9276,0.4124,0.2687,0.7581,0.767,0.7679,0.8371,0.8009,0.5369,0.684,0.7343,0.7702,0.791,0.7978,0.8139,0.8137,0.8168,0.8222,0.7763,1.0077,1.1293,1.2302,1.3218,1.4152,1.4678,1.5496,1.6223,1.7026
"Experiment 1, SP500,10D",2,"(19547, 1012)",19547,1012,10,"Full","ExtraTreesRegressor","ExtraTreesRegressor(n_estimators=128, n_jobs=-1)",182.331993579865,1.1075,1.6275,0.5354,0.2922,0.7978,0.8044,0.8056,0.8593,0.8315,0.5441,0.7185,0.7778,0.812,0.8291,0.8457,0.8587,0.8607,0.8648,0.8667,0.7935,0.9385,1.0066,1.0574,1.111,1.1524,1.1724,1.2231,1.2792,1.3407
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 512, Dropout: 0)",265.924956798553,0.5132,0.9012,0.8652,0.4786,0.9048,0.9068,0.9116,0.9227,0.9171,0.812,0.8783,0.8948,0.9166,0.9201,0.9258,0.9305,0.9308,0.9232,0.9158,0.3974,0.4232,0.45,0.46,0.4777,0.5032,0.5239,0.5598,0.6029,0.7334
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 768, Dropout: 0)",274.151379823685,0.5413,0.9363,0.8536,0.4805,0.9043,0.9067,0.9092,0.9253,0.9172,0.806,0.8687,0.8987,0.9107,0.9214,0.9277,0.932,0.9319,0.9279,0.9178,0.4185,0.4602,0.4729,0.497,0.5188,0.5334,0.5533,0.5802,0.6252,0.7533
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 8, Dropout: 0)",79.5061671733856,1.7394,2.6265,0.06,0.1811,0.5681,0.5768,0.6167,0.6417,0.6288,0.528,0.5241,0.5502,0.5604,0.5662,0.5793,0.5977,0.5902,0.5945,0.5899,0.7657,1.1216,1.3645,1.5566,1.7507,1.9129,2.0397,2.1656,2.298,2.4187
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 16, Dropout: 0)",52.5393748283386,1.6434,2.4851,0.138,0.221,0.5932,0.6232,0.6192,0.8505,0.7165,0.5352,0.5514,0.5674,0.5846,0.6031,0.6089,0.6166,0.6163,0.6278,0.6211,0.76,1.0955,1.3211,1.5074,1.6589,1.7892,1.8953,2.02,2.1271,2.2597
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 32, Dropout: 0)",230.085619449615,1.3782,2.065,0.3532,0.2562,0.6902,0.7012,0.7109,0.788,0.7473,0.5724,0.6094,0.6516,0.6818,0.7046,0.7323,0.7344,0.74,0.7424,0.7332,0.7493,1.0445,1.2099,1.3264,1.4004,1.4586,1.512,1.6028,1.674,1.8043
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 64, Dropout: 0)",149.86478638649,1.0406,1.5559,0.5801,0.2969,0.7802,0.785,0.7983,0.8247,0.8112,0.6214,0.6913,0.7416,0.7905,0.8083,0.8284,0.8412,0.8296,0.8291,0.8205,0.7345,0.9364,0.9896,0.9921,1.0133,1.0209,1.0314,1.1179,1.2231,1.3471
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 128, Dropout: 0)",294.434712409973,0.7425,1.0931,0.7757,0.3477,0.8455,0.8481,0.8604,0.8694,0.8649,0.6697,0.7812,0.8388,0.8708,0.8788,0.8885,0.8874,0.8878,0.8841,0.8684,0.6892,0.6753,0.6449,0.6448,0.6865,0.7091,0.7318,0.7759,0.8508,1.0163
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 3, Neurons per Layer: 256, Dropout: 0)",636.94350194931,0.5294,0.8577,0.8819,0.4504,0.8956,0.8972,0.9055,0.9114,0.9084,0.7976,0.8631,0.895,0.9134,0.912,0.9192,0.9185,0.917,0.9131,0.9068,0.4105,0.4301,0.433,0.4547,0.4703,0.5022,0.5399,0.5951,0.6588,0.7993
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 8, Dropout: 0)",60.1084504127502,1.7413,2.6466,0.0475,0.2022,0.5635,0.5866,0.6036,0.7582,0.672,0.5338,0.5447,0.5494,0.5606,0.5671,0.5757,0.5809,0.5695,0.5721,0.5815,0.7636,1.1137,1.36,1.5605,1.7452,1.9124,2.0408,2.1751,2.3114,2.4308
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 64, Dropout: 0)",207.269696235657,0.9889,1.4598,0.6238,0.3096,0.7957,0.8,0.8127,0.8358,0.824,0.6376,0.704,0.7577,0.7967,0.8191,0.8407,0.8586,0.8523,0.8528,0.8373,0.7257,0.9043,0.957,0.9607,0.9649,0.9754,0.9729,1.0471,1.118,1.263
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 128, Dropout: 0)",385.395263910294,0.5584,0.8607,0.8789,0.4324,0.8898,0.8917,0.9004,0.9064,0.9033,0.7749,0.862,0.8854,0.9057,0.9061,0.9198,0.92,0.917,0.9107,0.8963,0.4584,0.4346,0.4405,0.4602,0.4958,0.5249,0.5788,0.6453,0.6998,0.8459
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 256, Dropout: 0)",690.601583480835,0.3472,0.6086,0.9494,0.5967,0.9371,0.9382,0.9425,0.9473,0.9449,0.8922,0.9328,0.9454,0.9548,0.9501,0.9502,0.9497,0.9418,0.9302,0.9237,0.2213,0.2307,0.2404,0.2556,0.2794,0.3152,0.3675,0.4232,0.4988,0.6404
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 64, Dropout: 0)",107.491910934448,1.0738,1.6508,0.543,0.2891,0.7754,0.7791,0.7986,0.8095,0.804,0.6018,0.6798,0.7284,0.7748,0.7978,0.8322,0.8399,0.8379,0.835,0.8267,0.7519,0.9605,1.0401,1.0574,1.0607,1.0567,1.0683,1.1475,1.2252,1.37
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 96, Dropout: 0)",97.2068531513214,0.8801,1.3083,0.6857,0.3186,0.8166,0.8197,0.8348,0.8449,0.8398,0.6503,0.7291,0.7952,0.8345,0.8509,0.8596,0.8689,0.8653,0.8588,0.854,0.7219,0.8428,0.8302,0.8068,0.8259,0.8405,0.8704,0.9126,1.0084,1.1412
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 128, Dropout: 0)",215.195370674133,0.8034,1.2217,0.719,0.3127,0.8315,0.8346,0.8464,0.8602,0.8533,0.6478,0.7513,0.8145,0.8534,0.8669,0.8818,0.884,0.8756,0.8783,0.8615,0.7163,0.7518,0.7344,0.7295,0.7548,0.7743,0.7786,0.831,0.8973,1.0663
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyRecNet","EasyRecNet(Layers: 4, Neurons per Layer: 192, Dropout: 0)",187.11311674118,0.6109,1.0058,0.8299,0.4007,0.8764,0.8793,0.8838,0.9028,0.8932,0.7513,0.8314,0.8703,0.8938,0.9018,0.913,0.91,0.9048,0.9004,0.8871,0.4892,0.5255,0.5286,0.5293,0.5555,0.5707,0.6113,0.6681,0.7418,0.8885
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 64, Dropout: 0.25)",108.42101597786,1.0932,1.6697,0.5285,0.3086,0.7769,0.7794,0.8041,0.8033,0.8035,0.6125,0.6822,0.7312,0.7752,0.8028,0.8265,0.8381,0.8392,0.8381,0.8236,0.7379,0.9703,1.0735,1.0954,1.0888,1.1069,1.0903,1.1381,1.2295,1.4016
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 64, Dropout: 0.5)",147.185699701309,1.0805,1.638,0.5389,0.31,0.7776,0.7808,0.8019,0.8093,0.8054,0.6086,0.6761,0.7266,0.7749,0.8071,0.8262,0.839,0.8487,0.8403,0.8282,0.7433,0.9799,1.0699,1.0771,1.0784,1.077,1.0804,1.1291,1.2151,1.3544
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 96, Dropout: 0.25)",128.822055339813,1.0359,1.5974,0.5576,0.319,0.7881,0.7908,0.8127,0.8148,0.8136,0.618,0.6934,0.7436,0.7868,0.8185,0.8357,0.8422,0.8471,0.8522,0.8437,0.7374,0.9423,1.0271,1.0451,1.0404,1.0334,1.0268,1.0605,1.1445,1.3011
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 96, Dropout: 0.5)",88.2307217121124,1.0484,1.5997,0.5574,0.3076,0.7821,0.7856,0.8046,0.8162,0.8102,0.6178,0.683,0.7398,0.7871,0.8118,0.833,0.8447,0.8371,0.8377,0.8287,0.7367,0.9592,1.0308,1.044,1.0626,1.0568,1.0382,1.0849,1.1675,1.3037
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 128, Dropout: 0.25)",64.447286605835,0.9837,1.517,0.5991,0.3135,0.7963,0.7992,0.8184,0.8253,0.8218,0.6149,0.702,0.7549,0.7972,0.822,0.8451,0.8567,0.861,0.8616,0.8474,0.7343,0.9111,0.9599,0.9804,0.9863,0.9769,0.974,1.0132,1.0871,1.2137
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 128, Dropout: 0.5)",60.3610165119171,0.9596,1.4849,0.6054,0.3163,0.803,0.8054,0.8258,0.8271,0.8263,0.6158,0.7014,0.7591,0.8096,0.8348,0.8523,0.8681,0.8683,0.8675,0.8528,0.7283,0.9158,0.955,0.9434,0.9447,0.9499,0.943,0.9801,1.0465,1.189
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 192, Dropout: 0.25)",119.283157587051,0.9042,1.4016,0.6359,0.3145,0.8143,0.8175,0.832,0.8454,0.8386,0.6267,0.7233,0.7775,0.822,0.8432,0.8625,0.8726,0.8734,0.8767,0.8656,0.7402,0.8732,0.8867,0.8721,0.887,0.897,0.9003,0.9224,0.9645,1.0984
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 192, Dropout: 0.5)",123.245274543762,0.917,1.4499,0.6208,0.3145,0.8149,0.8167,0.8381,0.8343,0.8361,0.6181,0.7202,0.7796,0.8257,0.8431,0.8641,0.874,0.8758,0.8798,0.8682,0.7532,0.8889,0.8869,0.8789,0.8922,0.8903,0.8977,0.939,1.008,1.1352
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 256, Dropout: 0.25)",73.0937535762787,0.8811,1.42,0.635,0.3149,0.8239,0.8259,0.8448,0.8444,0.8445,0.6325,0.7385,0.7944,0.8448,0.8614,0.8668,0.8729,0.8789,0.8799,0.8688,0.7529,0.8438,0.833,0.8298,0.8448,0.8687,0.8899,0.9172,0.9465,1.0842
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 256, Dropout: 0.5)",66.6177644729614,0.889,1.4455,0.6196,0.3129,0.8231,0.8257,0.8416,0.8485,0.845,0.6327,0.7393,0.7972,0.8401,0.8536,0.8694,0.8727,0.8751,0.884,0.8673,0.7544,0.8635,0.849,0.8433,0.8566,0.8757,0.882,0.9208,0.9481,1.0966
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 384, Dropout: 0.25)",73.0378613471985,0.8669,1.3958,0.6415,0.3039,0.8264,0.8295,0.8421,0.8555,0.8487,0.6312,0.7419,0.8072,0.8378,0.8542,0.8741,0.8809,0.8822,0.8853,0.8689,0.7702,0.8276,0.7955,0.8227,0.8526,0.8702,0.8648,0.8949,0.9214,1.0497
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 384, Dropout: 0.5)",82.0364215373993,0.8806,1.4215,0.6273,0.2844,0.8205,0.8234,0.8385,0.8476,0.843,0.6064,0.7359,0.8001,0.8369,0.8483,0.8662,0.8815,0.8722,0.887,0.8708,0.8175,0.8389,0.8132,0.8199,0.8723,0.8833,0.8677,0.8981,0.9325,1.0626
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 512, Dropout: 0.25)",63.2941818237305,0.8693,1.4153,0.6288,0.2875,0.8265,0.8292,0.8438,0.8521,0.8479,0.6093,0.7409,0.8083,0.846,0.8576,0.8744,0.8797,0.8874,0.8854,0.8763,0.8091,0.8263,0.7865,0.8092,0.863,0.8704,0.8477,0.8868,0.937,1.0568
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 512, Dropout: 0.5)",85.8759205341339,0.8516,1.3726,0.653,0.2967,0.8305,0.8332,0.8471,0.8565,0.8518,0.6191,0.7479,0.8158,0.8475,0.8647,0.8775,0.884,0.8823,0.8922,0.874,0.7835,0.7993,0.7726,0.7976,0.8236,0.8476,0.8514,0.8822,0.9111,1.0475
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 768, Dropout: 0.25)",151.254073143005,0.8688,1.4353,0.6337,0.2852,0.8298,0.8326,0.8467,0.8556,0.8511,0.6158,0.7661,0.8172,0.8361,0.8573,0.8692,0.8913,0.8835,0.8854,0.8766,0.7791,0.7807,0.7894,0.8171,0.8506,0.872,0.8743,0.9146,0.9536,1.057
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 768, Dropout: 0.5)",93.8993561267853,0.8684,1.4352,0.6252,0.2795,0.8282,0.8308,0.8457,0.8526,0.8491,0.61,0.7541,0.8135,0.8465,0.8574,0.8738,0.8794,0.883,0.8914,0.8728,0.7978,0.805,0.7943,0.8268,0.8577,0.8673,0.8718,0.9033,0.929,1.031
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 1024, Dropout: 0.25)",196.35204076767,0.8542,1.4442,0.6303,0.2914,0.8334,0.8361,0.8499,0.8585,0.8542,0.6173,0.7612,0.8225,0.8477,0.8632,0.8795,0.8901,0.8885,0.8869,0.8776,0.7802,0.7747,0.7665,0.8099,0.8403,0.856,0.8426,0.8951,0.9354,1.0417
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 1, Neurons per Layer: 1024, Dropout: 0.5)",149.360955476761,0.8505,1.3965,0.6474,0.285,0.8319,0.8352,0.8458,0.8622,0.8539,0.6169,0.7697,0.8155,0.8502,0.8551,0.8737,0.891,0.8832,0.8863,0.8777,0.7779,0.7685,0.7754,0.8049,0.8325,0.8484,0.8398,0.8909,0.9378,1.0291
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 64, Dropout: 0.25)",74.1844830513001,0.8966,1.3815,0.6562,0.3339,0.811,0.8158,0.8229,0.8566,0.8393,0.6395,0.711,0.7671,0.8101,0.8493,0.8624,0.8713,0.8776,0.8678,0.8538,0.7011,0.8576,0.8945,0.8784,0.8638,0.8601,0.8635,0.9084,1.0015,1.1371
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 64, Dropout: 0.5)",84.6576573848724,0.9348,1.4575,0.6278,0.3358,0.8047,0.8105,0.8142,0.8578,0.8354,0.6405,0.7093,0.764,0.8033,0.8362,0.855,0.8649,0.8647,0.864,0.8451,0.7022,0.8859,0.9276,0.9245,0.9083,0.9037,0.8978,0.9559,1.0413,1.2007
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 96, Dropout: 0.25)",82.6900131702423,0.805,1.2675,0.6961,0.3364,0.8316,0.8355,0.843,0.8694,0.8559,0.6382,0.7389,0.7999,0.8483,0.8708,0.8822,0.8889,0.8914,0.8878,0.8696,0.7024,0.8026,0.8022,0.7681,0.7557,0.766,0.7712,0.8078,0.8748,0.9995
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 96, Dropout: 0.5)",102.155425786972,0.8268,1.2932,0.6886,0.3442,0.8302,0.8342,0.8409,0.8695,0.8549,0.6532,0.7359,0.7976,0.8468,0.8654,0.8833,0.8877,0.8836,0.881,0.8669,0.6913,0.823,0.8162,0.7837,0.7758,0.7874,0.7957,0.8354,0.9231,1.0363
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 128, Dropout: 0.25)",97.6711964607239,0.7296,1.16,0.7348,0.3579,0.8525,0.8551,0.8649,0.8792,0.8719,0.6671,0.7637,0.8354,0.8723,0.8922,0.9007,0.9015,0.8973,0.9022,0.8922,0.685,0.7359,0.6963,0.6655,0.6819,0.7097,0.713,0.7356,0.7689,0.9043
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 128, Dropout: 0.5)",96.6388461589813,0.7697,1.2241,0.7165,0.355,0.8436,0.8469,0.8547,0.8768,0.8655,0.6661,0.7645,0.8227,0.8605,0.8728,0.8934,0.894,0.896,0.8895,0.8765,0.6855,0.7658,0.7406,0.7086,0.7177,0.7438,0.7474,0.7809,0.8385,0.9686
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 192, Dropout: 0.25)",227.345386505127,0.7151,1.1859,0.7264,0.3575,0.8587,0.861,0.8717,0.882,0.8768,0.6592,0.7911,0.8493,0.8744,0.8908,0.903,0.9058,0.9071,0.912,0.8945,0.7074,0.7023,0.6595,0.6517,0.675,0.7039,0.7078,0.7304,0.7407,0.8719
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 192, Dropout: 0.5)",192.256425619125,0.7215,1.1888,0.7343,0.3657,0.8548,0.8582,0.8635,0.8878,0.8754,0.6717,0.7812,0.8387,0.8751,0.8848,0.901,0.9007,0.906,0.9031,0.8853,0.679,0.7117,0.6721,0.6624,0.6852,0.7007,0.7072,0.7257,0.7753,0.896
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 256, Dropout: 0.25)",125.132316350937,0.6816,1.1547,0.7389,0.3589,0.8699,0.8723,0.8805,0.8935,0.8869,0.6716,0.8202,0.8688,0.8864,0.8894,0.9097,0.9167,0.9159,0.9171,0.9033,0.6939,0.633,0.6017,0.6361,0.669,0.6627,0.6566,0.6885,0.7264,0.8482
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 256, Dropout: 0.5)",122.400294303894,0.7108,1.1949,0.7317,0.361,0.8601,0.863,0.8699,0.89,0.8797,0.6717,0.7806,0.8506,0.884,0.8886,0.9034,0.9067,0.9078,0.9115,0.8961,0.6876,0.6906,0.6443,0.6494,0.6699,0.7017,0.6966,0.7218,0.762,0.8837
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 384, Dropout: 0.25)",126.897672653198,0.7039,1.1807,0.7271,0.3522,0.8616,0.864,0.8734,0.8861,0.8797,0.6629,0.797,0.8612,0.8745,0.8893,0.9032,0.908,0.9095,0.9103,0.9004,0.7116,0.6621,0.6337,0.6758,0.6955,0.6873,0.68,0.7104,0.7363,0.8468
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 384, Dropout: 0.5)",177.556232690811,0.6862,1.2209,0.7216,0.3718,0.8688,0.8713,0.8793,0.893,0.8861,0.6846,0.8164,0.8664,0.8775,0.8912,0.905,0.917,0.9159,0.911,0.9032,0.695,0.6304,0.6092,0.6356,0.6711,0.6752,0.6639,0.6868,0.7351,0.8598
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 512, Dropout: 0.25)",180.324010848999,0.6541,1.1293,0.7562,0.3681,0.873,0.8753,0.8829,0.8965,0.8897,0.6787,0.8257,0.8672,0.8883,0.8953,0.9164,0.9156,0.9207,0.9134,0.9084,0.6744,0.5936,0.5855,0.6196,0.6464,0.6359,0.6442,0.6564,0.695,0.7897
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 512, Dropout: 0.5)",182.420215368271,0.674,1.1632,0.7432,0.3726,0.8696,0.8722,0.8786,0.8967,0.8875,0.6782,0.8188,0.8653,0.8847,0.8966,0.908,0.9132,0.9112,0.9172,0.9025,0.6827,0.6236,0.5925,0.6232,0.6644,0.6538,0.6582,0.6869,0.721,0.8333
"Experiment 1, SP500,10D",3,"(19547, 11, 92)",19547,"(11, 92)",10,"Full","EasyLSTM","EasyLSTM(Layers: 2, Neurons per Layer: 768, Dropout: 0.25)",430.901009321213,0.6391,1.15,0.7632,0.3998,0.8787,0.8815,0.8858,0.9052,0.8954,0.7083,0.8431,0.8735,0.8901,0.9027,0.9151,0.9224,0.9135,0.9135,0.9045,0.6272,0.5465,0.5694,0.5967,0.603,0.6248,0.6368,0.664,0.7065,0.8158
